DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2015.10.28-21.57.21, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=1.498424ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD223CF75__23E99E83774251E57C2B3F99B833103F99DBF08E, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=3312989 bytes, Retrieved=true, Duration=1.658332ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD223CF75__E2C92D33A3E77933BD68685D5D271B5F31760256, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=2616510 bytes, Retrieved=true, Duration=0.901502ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_3, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDAB81C28__16747BAB7773CD8447CFE1E2C4A42C3675E8564A, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=43977 bytes, Retrieved=true, Duration=0.043370ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDAB81C28__F8BF0D1E00F78F96B5A37953F5FF55CA9FEB1320, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=36856 bytes, Retrieved=true, Duration=0.036418ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufCE894242__C0118808F184FFB83D79AD9AB11575B821F7BE15, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=94560 bytes, Retrieved=true, Duration=0.068203ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufCE894242__E69F05CBE301C9C11AAEFB5532D8AB1468EC7EAA, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=85695 bytes, Retrieved=true, Duration=0.040721ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_7, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD9DB04D0__8C735E221A869B92BEE039699E78B506A39A8D22, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=45844 bytes, Retrieved=true, Duration=0.036746ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_8, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD9DB04D0__0545CEB5D995C403F86A3189EAD5D9939AECBB77, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=38654 bytes, Retrieved=true, Duration=0.035424ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_9, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A5F2BF274BCBD6757D2C7D5213D6917ACF545A9A, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=50964 bytes, Retrieved=true, Duration=0.036750ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
DDCTransactionId68DF1F95497BBC7EDF9E359C7D080304_10, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__657512B49AED8701BB45866B56D043486A67DF9B, StartTime=2015.10.28-21.57.22, HierarchicalDDC, DataSize=43651 bytes, Retrieved=true, Duration=0.043370ms, RunGuid=RunID51FE024348890DF69848A7A541091D14
