DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2015.11.29-16.28.45, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.489984ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDAB81C28__16747BAB7773CD8447CFE1E2C4A42C3675E8564A, StartTime=2015.11.29-16.28.51, HierarchicalDDC, DataSize=43977 bytes, Retrieved=true, Duration=0.050984ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDAB81C28__F8BF0D1E00F78F96B5A37953F5FF55CA9FEB1320, StartTime=2015.11.29-16.28.51, HierarchicalDDC, DataSize=36856 bytes, Retrieved=true, Duration=61.475113ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_3, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufCE894242__C0118808F184FFB83D79AD9AB11575B821F7BE15, StartTime=2015.11.29-16.28.51, HierarchicalDDC, DataSize=94560 bytes, Retrieved=true, Duration=0.099652ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufCE894242__E69F05CBE301C9C11AAEFB5532D8AB1468EC7EAA, StartTime=2015.11.29-16.28.51, HierarchicalDDC, DataSize=85695 bytes, Retrieved=true, Duration=19.884075ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD9DB04D0__8C735E221A869B92BEE039699E78B506A39A8D22, StartTime=2015.11.29-16.28.51, HierarchicalDDC, DataSize=45844 bytes, Retrieved=true, Duration=0.039067ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD9DB04D0__0545CEB5D995C403F86A3189EAD5D9939AECBB77, StartTime=2015.11.29-16.28.51, HierarchicalDDC, DataSize=38654 bytes, Retrieved=true, Duration=12.913399ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_7, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD223CF75__23E99E83774251E57C2B3F99B833103F99DBF08E, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=3312989 bytes, Retrieved=true, Duration=1.790758ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_8, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD223CF75__E2C92D33A3E77933BD68685D5D271B5F31760256, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=2616510 bytes, Retrieved=true, Duration=15.118986ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_9, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A5F2BF274BCBD6757D2C7D5213D6917ACF545A9A, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=50964 bytes, Retrieved=true, Duration=0.040393ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_10, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__657512B49AED8701BB45866B56D043486A67DF9B, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=43651 bytes, Retrieved=true, Duration=17.438795ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_11, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__E6DF9CE0EE9717D8B71B071B783390509E9F2721, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=46674 bytes, Retrieved=true, Duration=0.049658ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_12, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__D4515787DF5450CB1E68235EBDDEF7547C3CDA40, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=39664 bytes, Retrieved=true, Duration=0.191025ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_13, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6CDBC5D52F47BF08934D4F01FCC716E20F6A094B, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=27401 bytes, Retrieved=true, Duration=0.035096ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__B47EE8B2D597F86D3C53961C6B7DA58E4033BABF, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.121173ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__F9C741C33AE83ACDCE92A59BCAEB4C89BB03F1E0, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.035759ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__33390D3EE9D7EAE85E005AA887A98A1CFB42A306, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=31.359308ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__12646B186A5F8067991F14F06B743B5A3FE20E69, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=38327 bytes, Retrieved=true, Duration=0.051979ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
DDCTransactionIdDAE14A894BA796CF48CD6DAF608D7CCE_18, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__F3E4FF6050A5B18A1763C9645723AE6228DED35E, StartTime=2015.11.29-16.28.52, HierarchicalDDC, DataSize=31142 bytes, Retrieved=true, Duration=0.154942ms, RunGuid=RunID75EDAFDD48D5F91CBF1D98B56932CBD3
